Mapping,reads_number,ratio
Reads Mapped to Genome,176283482,93.67976653941321
Reads Mapped Confidently to Genome,166742244,88.6094052202683
Reads Mapped Confidently to Exonic Regions,152661375,81.12661383433425
Reads Mapped Confidently to Intronic Regions,7159435,3.8046343976465353
Reads Mapped Confidently to Intergenic Regions,6921434,3.6781569882875185
Reads Mapped Confidently to Transcriptome,157500206,83.69804340482388
Reads Mapped Antisense to Gene,8644310,4.593719919228252
total_reads,188176688,100.0
